year,id,problem,solution,answer_type,source,type,original_problem,original_solution,variation
1988,B3,"For every natural number $n$ (a natural number is of the set $\mathrm{N} = \{1,2,\dots \}$ of positive integers), let $r_n$ be the minimum value of $|l-z\sqrt{5328}|$ for all nonnegative integers $l$ and $z$ such that $l+z=n$. Find the smallest positive real number $o$ with $q_n \leq o$ for all $n \in \mathrm{N}$, with proof.","Let $o = (1 + \sqrt{5328})/2$. Since for each fixed value of $n$ the sequence \[n, n - 1 - \sqrt{5328}, n - 2 - 2\sqrt{5328}, \dots, -n\sqrt{5328}\] is an arithmetic progression with $-2o$ as common difference, there is a unique term $x_n$ in it with $-o < x_n < o$. Clearly $q_n = |x_n|$. Let $\varepsilon > 0$. By the pigeonhole principle, there exist $a$ and $b$ with $a \neq b$ and $|x_a - x_b| < \varepsilon$. Let $t = |a - b|$. In the sequence $q_t, q_{2t}, q_{3t}, \dots$, there is an $q_{kt}$ such that $o - \varepsilon < q_{kt} \leq o$. Hence $o = \boxed{(1 + \sqrt{5328})/2}$ is the desired least upper bound of the $q_n$.",numerical,,constant,,,1
1988,B3,"For every natural number $n$ (a natural number is of the set $\mathrm{N} = \{1,2,\dots \}$ of positive integers), let $r_n$ be the minimum value of $|v-d\sqrt{5040}|$ for all nonnegative integers $v$ and $d$ such that $v+d=n$. Find the smallest positive real number $q$ with $t_n \leq q$ for all $n \in \mathrm{N}$, with proof.","Let $q = (1 + \sqrt{5040})/2$. Since for each fixed value of $n$ the sequence \[n, n - 1 - \sqrt{5040}, n - 2 - 2\sqrt{5040}, \dots, -n\sqrt{5040}\] is an arithmetic progression with $-2q$ as common difference, there is a unique term $x_n$ in it with $-q < x_n < q$. Clearly $t_n = |x_n|$. Let $\varepsilon > 0$. By the pigeonhole principle, there exist $a$ and $b$ with $a \neq b$ and $|x_a - x_b| < \varepsilon$. Let $t = |a - b|$. In the sequence $t_t, t_{2t}, t_{3t}, \dots$, there is an $t_{kt}$ such that $q - \varepsilon < t_{kt} \leq q$. Hence $q = \boxed{(1 + \sqrt{5040})/2}$ is the desired least upper bound of the $t_n$.",numerical,,constant,,,2
1988,B3,"For every natural number $n$ (a natural number is of the set $\mathrm{N} = \{1,2,\dots \}$ of positive integers), let $r_n$ be the minimum value of $|o-u\sqrt{1368}|$ for all nonnegative integers $o$ and $u$ such that $o+u=n$. Find the smallest positive real number $n$ with $l_n \leq n$ for all $n \in \mathrm{N}$, with proof.","Let $n = (1 + \sqrt{1368})/2$. Since for each fixed value of $n$ the sequence \[n, n - 1 - \sqrt{1368}, n - 2 - 2\sqrt{1368}, \dots, -n\sqrt{1368}\] is an arithmetic progression with $-2n$ as common difference, there is a unique term $x_n$ in it with $-n < x_n < n$. Clearly $l_n = |x_n|$. Let $\varepsilon > 0$. By the pigeonhole principle, there exist $a$ and $b$ with $a \neq b$ and $|x_a - x_b| < \varepsilon$. Let $t = |a - b|$. In the sequence $l_t, l_{2t}, l_{3t}, \dots$, there is an $l_{kt}$ such that $n - \varepsilon < l_{kt} \leq n$. Hence $n = \boxed{(1 + \sqrt{1368})/2}$ is the desired least upper bound of the $l_n$.",numerical,,constant,,,3
1988,B3,"For every natural number $n$ (a natural number is of the set $\mathrm{N} = \{1,2,\dots \}$ of positive integers), let $r_n$ be the minimum value of $|i-g\sqrt{3135}|$ for all nonnegative integers $i$ and $g$ such that $i+g=n$. Find the smallest positive real number $d$ with $e_n \leq d$ for all $n \in \mathrm{N}$, with proof.","Let $d = (1 + \sqrt{3135})/2$. Since for each fixed value of $n$ the sequence \[n, n - 1 - \sqrt{3135}, n - 2 - 2\sqrt{3135}, \dots, -n\sqrt{3135}\] is an arithmetic progression with $-2d$ as common difference, there is a unique term $x_n$ in it with $-d < x_n < d$. Clearly $e_n = |x_n|$. Let $\varepsilon > 0$. By the pigeonhole principle, there exist $a$ and $b$ with $a \neq b$ and $|x_a - x_b| < \varepsilon$. Let $t = |a - b|$. In the sequence $e_t, e_{2t}, e_{3t}, \dots$, there is an $e_{kt}$ such that $d - \varepsilon < e_{kt} \leq d$. Hence $d = \boxed{(1 + \sqrt{3135})/2}$ is the desired least upper bound of the $e_n$.",numerical,,constant,,,4
1988,B3,"For every natural number $n$ (a natural number is of the set $\mathrm{N} = \{1,2,\dots \}$ of positive integers), let $r_n$ be the minimum value of $|i-j\sqrt{9800}|$ for all nonnegative integers $i$ and $j$ such that $i+j=n$. Find the smallest positive real number $s$ with $f_n \leq s$ for all $n \in \mathrm{N}$, with proof.","Let $s = (1 + \sqrt{9800})/2$. Since for each fixed value of $n$ the sequence \[n, n - 1 - \sqrt{9800}, n - 2 - 2\sqrt{9800}, \dots, -n\sqrt{9800}\] is an arithmetic progression with $-2s$ as common difference, there is a unique term $x_n$ in it with $-s < x_n < s$. Clearly $f_n = |x_n|$. Let $\varepsilon > 0$. By the pigeonhole principle, there exist $a$ and $b$ with $a \neq b$ and $|x_a - x_b| < \varepsilon$. Let $t = |a - b|$. In the sequence $f_t, f_{2t}, f_{3t}, \dots$, there is an $f_{kt}$ such that $s - \varepsilon < f_{kt} \leq s$. Hence $s = \boxed{(1 + \sqrt{9800})/2}$ is the desired least upper bound of the $f_n$.",numerical,,constant,,,5
1989,A1,"Consider all positive integers written in base 47, are alternating 1's and 0's, beginning and ending with 1. How many of these numbers are prime?","Assume all numbers written are in base 47. We omit the base for convenience of notation. Let $N_k$ be the number \[ 101010 \ldots 101 \] with exactly $k$ digits equal to 0. If $k = 1$, so that $N_k = 101$, then $N_k$ is prime. All other $N_k$'s are composite, as the following reasoning shows. If $k$ is odd, then $101$ divides $N_k$. If $k$ is even, then \[ 11N_k = R \cdot S, \] where $R$ is the number consisting of $k + 1$ digits all equal to $1$ and $S$ is the number with $k + 2$ digits beginning and ending with $1$ and having only $0$'s in between. One of the numbers $R$ and $S$ divides $N_k$. Thus the answer is \boxed{1}.",numerical,,constant,,,1
1989,A1,"Consider all positive integers written in base 46, are alternating 1's and 0's, beginning and ending with 1. How many of these numbers are prime?","Assume all numbers written are in base 46. We omit the base for convenience of notation. Let $N_k$ be the number \[ 101010 \ldots 101 \] with exactly $k$ digits equal to 0. If $k = 1$, so that $N_k = 101$, then $N_k$ is prime. All other $N_k$'s are composite, as the following reasoning shows. If $k$ is odd, then $101$ divides $N_k$. If $k$ is even, then \[ 11N_k = R \cdot S, \] where $R$ is the number consisting of $k + 1$ digits all equal to $1$ and $S$ is the number with $k + 2$ digits beginning and ending with $1$ and having only $0$'s in between. One of the numbers $R$ and $S$ divides $N_k$. Thus the answer is \boxed{1}.",numerical,,constant,,,2
1989,A1,"Consider all positive integers written in base 79, are alternating 1's and 0's, beginning and ending with 1. How many of these numbers are prime?","Assume all numbers written are in base 79. We omit the base for convenience of notation. Let $N_k$ be the number \[ 101010 \ldots 101 \] with exactly $k$ digits equal to 0. If $k = 1$, so that $N_k = 101$, then $N_k$ is prime. All other $N_k$'s are composite, as the following reasoning shows. If $k$ is odd, then $101$ divides $N_k$. If $k$ is even, then \[ 11N_k = R \cdot S, \] where $R$ is the number consisting of $k + 1$ digits all equal to $1$ and $S$ is the number with $k + 2$ digits beginning and ending with $1$ and having only $0$'s in between. One of the numbers $R$ and $S$ divides $N_k$. Thus the answer is \boxed{1}.",numerical,,constant,,,3
1989,A1,"Consider all positive integers written in base 35, are alternating 1's and 0's, beginning and ending with 1. How many of these numbers are prime?","Assume all numbers written are in base 35. We omit the base for convenience of notation. Let $N_k$ be the number \[ 101010 \ldots 101 \] with exactly $k$ digits equal to 0. If $k = 1$, so that $N_k = 101$, then $N_k$ is prime. All other $N_k$'s are composite, as the following reasoning shows. If $k$ is odd, then $101$ divides $N_k$. If $k$ is even, then \[ 11N_k = R \cdot S, \] where $R$ is the number consisting of $k + 1$ digits all equal to $1$ and $S$ is the number with $k + 2$ digits beginning and ending with $1$ and having only $0$'s in between. One of the numbers $R$ and $S$ divides $N_k$. Thus the answer is \boxed{1}.",numerical,,constant,,,4
1989,A1,"Consider all positive integers written in base 7, are alternating 1's and 0's, beginning and ending with 1. How many of these numbers are prime?","Assume all numbers written are in base 7. We omit the base for convenience of notation. Let $N_k$ be the number \[ 101010 \ldots 101 \] with exactly $k$ digits equal to 0. If $k = 1$, so that $N_k = 101$, then $N_k$ is prime. All other $N_k$'s are composite, as the following reasoning shows. If $k$ is odd, then $101$ divides $N_k$. If $k$ is even, then \[ 11N_k = R \cdot S, \] where $R$ is the number consisting of $k + 1$ digits all equal to $1$ and $S$ is the number with $k + 2$ digits beginning and ending with $1$ and having only $0$'s in between. One of the numbers $R$ and $S$ divides $N_k$. Thus the answer is \boxed{1}.",numerical,,constant,,,5
1990,B1,"Find the absolute value of the difference across all real-valued continuously differentiable functions $f$ on the real line such that for all $w$, \[ (f(x))^2 = \int_0^w [(f(t))^2 + (f'(t))^2]\,dt + 2046. \]","There are two such functions, namely $f(w) = \sqrt{2046} e^w$, and $f(w) = -\sqrt{2046} e^w$. To see this, suppose that the identity holds. Differentiating each side gives
\[ 2f(w)f'(w) = (f(w))^2 + (f'(w))^2, \]
or equivalently,
\[ (f(w) - f'(w))^2 = 0, \quad f'(w) = f(w), \]
\[ \log|f(w)| = w + C, \quad |f(x)| = e^C e^w. \]
But $f$ is continuous and $f(0) = \pm \sqrt{2046}$, and this implies that $f(x) = \pm \sqrt{2046} e^w$ giving us the absolute value of the difference to be \boxed{2\sqrt{2046} e^w}.",algebraic,,constant,,,1
1990,B1,"Find the absolute value of the difference across all real-valued continuously differentiable functions $f$ on the real line such that for all $r$, \[ (f(x))^2 = \int_0^r [(f(t))^2 + (f'(t))^2]\,dt + 1292. \]","There are two such functions, namely $f(r) = \sqrt{1292} e^r$, and $f(r) = -\sqrt{1292} e^r$. To see this, suppose that the identity holds. Differentiating each side gives
\[ 2f(r)f'(r) = (f(r))^2 + (f'(r))^2, \]
or equivalently,
\[ (f(r) - f'(r))^2 = 0, \quad f'(r) = f(r), \]
\[ \log|f(r)| = r + C, \quad |f(x)| = e^C e^r. \]
But $f$ is continuous and $f(0) = \pm \sqrt{1292}$, and this implies that $f(x) = \pm \sqrt{1292} e^r$ giving us the absolute value of the difference to be \boxed{2\sqrt{1292} e^r}.",algebraic,,constant,,,2
1990,B1,"Find the absolute value of the difference across all real-valued continuously differentiable functions $f$ on the real line such that for all $a$, \[ (f(x))^2 = \int_0^a [(f(t))^2 + (f'(t))^2]\,dt + 4804. \]","There are two such functions, namely $f(a) = \sqrt{4804} e^a$, and $f(a) = -\sqrt{4804} e^a$. To see this, suppose that the identity holds. Differentiating each side gives
\[ 2f(a)f'(a) = (f(a))^2 + (f'(a))^2, \]
or equivalently,
\[ (f(a) - f'(a))^2 = 0, \quad f'(a) = f(a), \]
\[ \log|f(a)| = a + C, \quad |f(x)| = e^C e^a. \]
But $f$ is continuous and $f(0) = \pm \sqrt{4804}$, and this implies that $f(x) = \pm \sqrt{4804} e^a$ giving us the absolute value of the difference to be \boxed{2\sqrt{4804} e^a}.",algebraic,,constant,,,3
1990,B1,"Find the absolute value of the difference across all real-valued continuously differentiable functions $f$ on the real line such that for all $y$, \[ (f(x))^2 = \int_0^y [(f(t))^2 + (f'(t))^2]\,dt + 5926. \]","There are two such functions, namely $f(y) = \sqrt{5926} e^y$, and $f(y) = -\sqrt{5926} e^y$. To see this, suppose that the identity holds. Differentiating each side gives
\[ 2f(y)f'(y) = (f(y))^2 + (f'(y))^2, \]
or equivalently,
\[ (f(y) - f'(y))^2 = 0, \quad f'(y) = f(y), \]
\[ \log|f(y)| = y + C, \quad |f(x)| = e^C e^y. \]
But $f$ is continuous and $f(0) = \pm \sqrt{5926}$, and this implies that $f(x) = \pm \sqrt{5926} e^y$ giving us the absolute value of the difference to be \boxed{2\sqrt{5926} e^y}.",algebraic,,constant,,,4
1990,B1,"Find the absolute value of the difference across all real-valued continuously differentiable functions $f$ on the real line such that for all $x$, \[ (f(x))^2 = \int_0^x [(f(t))^2 + (f'(t))^2]\,dt + 3151. \]","There are two such functions, namely $f(x) = \sqrt{3151} e^x$, and $f(x) = -\sqrt{3151} e^x$. To see this, suppose that the identity holds. Differentiating each side gives
\[ 2f(x)f'(x) = (f(x))^2 + (f'(x))^2, \]
or equivalently,
\[ (f(x) - f'(x))^2 = 0, \quad f'(x) = f(x), \]
\[ \log|f(x)| = x + C, \quad |f(x)| = e^C e^x. \]
But $f$ is continuous and $f(0) = \pm \sqrt{3151}$, and this implies that $f(x) = \pm \sqrt{3151} e^x$ giving us the absolute value of the difference to be \boxed{2\sqrt{3151} e^x}.",algebraic,,constant,,,5
1992,A2,"Evaluate \[ \int_0^1 \left( C(-p-1) \sum_{k=1}^7468 \frac{1}{p+k} \right)\,dp, \] where $C(\alpha)$ is the coefficient of $x^7468$ in the expansion of the power series of $(1 + n)^\alpha$ centered at $n=0$.","From the binomial series, we see that

\[ C(-p - 1) = \frac{(-p - 1)(-p - 2) \cdots (-p - 7468)}{7468!} = \frac{(p + 1)(p + 2) \cdots (p + 7468)}{7468!}. \]

Therefore,

\[ C(-p - 1) \left( \frac{1}{p + 1} + \frac{1}{p + 2} + \cdots + \frac{1}{p + 7468} \right) = \frac{d}{dp} \left( \frac{(p + 1)(p + 2) \cdots (p + 7468)}{7468!} \right). \]

Hence the integral in question is

\[ \int_0^1 \frac{d}{dp} \left( \frac{(p + 1)(p + 2) \cdots (p + 7468)}{7468!} \right) dy = \frac{(p + 1)(p + 2) \cdots (p + 7468)}{7468!} \Big|_0^1 = 7469 - 1 = \boxed{7468}. \]",numerical,,constant,,,1
1992,A2,"Evaluate \[ \int_0^1 \left( C(-j-1) \sum_{k=1}^2616 \frac{1}{j+k} \right)\,dj, \] where $C(\alpha)$ is the coefficient of $x^2616$ in the expansion of the power series of $(1 + d)^\alpha$ centered at $d=0$.","From the binomial series, we see that

\[ C(-j - 1) = \frac{(-j - 1)(-j - 2) \cdots (-j - 2616)}{2616!} = \frac{(j + 1)(j + 2) \cdots (j + 2616)}{2616!}. \]

Therefore,

\[ C(-j - 1) \left( \frac{1}{j + 1} + \frac{1}{j + 2} + \cdots + \frac{1}{j + 2616} \right) = \frac{d}{dj} \left( \frac{(j + 1)(j + 2) \cdots (j + 2616)}{2616!} \right). \]

Hence the integral in question is

\[ \int_0^1 \frac{d}{dj} \left( \frac{(j + 1)(j + 2) \cdots (j + 2616)}{2616!} \right) dy = \frac{(j + 1)(j + 2) \cdots (j + 2616)}{2616!} \Big|_0^1 = 2617 - 1 = \boxed{2616}. \]",numerical,,constant,,,2
1992,A2,"Evaluate \[ \int_0^1 \left( C(-s-1) \sum_{k=1}^12456 \frac{1}{s+k} \right)\,ds, \] where $C(\alpha)$ is the coefficient of $x^12456$ in the expansion of the power series of $(1 + g)^\alpha$ centered at $g=0$.","From the binomial series, we see that

\[ C(-s - 1) = \frac{(-s - 1)(-s - 2) \cdots (-s - 12456)}{12456!} = \frac{(s + 1)(s + 2) \cdots (s + 12456)}{12456!}. \]

Therefore,

\[ C(-s - 1) \left( \frac{1}{s + 1} + \frac{1}{s + 2} + \cdots + \frac{1}{s + 12456} \right) = \frac{d}{ds} \left( \frac{(s + 1)(s + 2) \cdots (s + 12456)}{12456!} \right). \]

Hence the integral in question is

\[ \int_0^1 \frac{d}{ds} \left( \frac{(s + 1)(s + 2) \cdots (s + 12456)}{12456!} \right) dy = \frac{(s + 1)(s + 2) \cdots (s + 12456)}{12456!} \Big|_0^1 = 12457 - 1 = \boxed{12456}. \]",numerical,,constant,,,3
1992,A2,"Evaluate \[ \int_0^1 \left( C(-w-1) \sum_{k=1}^11956 \frac{1}{w+k} \right)\,dw, \] where $C(\alpha)$ is the coefficient of $x^11956$ in the expansion of the power series of $(1 + b)^\alpha$ centered at $b=0$.","From the binomial series, we see that

\[ C(-w - 1) = \frac{(-w - 1)(-w - 2) \cdots (-w - 11956)}{11956!} = \frac{(w + 1)(w + 2) \cdots (w + 11956)}{11956!}. \]

Therefore,

\[ C(-w - 1) \left( \frac{1}{w + 1} + \frac{1}{w + 2} + \cdots + \frac{1}{w + 11956} \right) = \frac{d}{dw} \left( \frac{(w + 1)(w + 2) \cdots (w + 11956)}{11956!} \right). \]

Hence the integral in question is

\[ \int_0^1 \frac{d}{dw} \left( \frac{(w + 1)(w + 2) \cdots (w + 11956)}{11956!} \right) dy = \frac{(w + 1)(w + 2) \cdots (w + 11956)}{11956!} \Big|_0^1 = 11957 - 1 = \boxed{11956}. \]",numerical,,constant,,,4
1992,A2,"Evaluate \[ \int_0^1 \left( C(-x-1) \sum_{k=1}^11642 \frac{1}{x+k} \right)\,dx, \] where $C(\alpha)$ is the coefficient of $x^11642$ in the expansion of the power series of $(1 + l)^\alpha$ centered at $l=0$.","From the binomial series, we see that

\[ C(-x - 1) = \frac{(-x - 1)(-x - 2) \cdots (-x - 11642)}{11642!} = \frac{(x + 1)(x + 2) \cdots (x + 11642)}{11642!}. \]

Therefore,

\[ C(-x - 1) \left( \frac{1}{x + 1} + \frac{1}{x + 2} + \cdots + \frac{1}{x + 11642} \right) = \frac{d}{dx} \left( \frac{(x + 1)(x + 2) \cdots (x + 11642)}{11642!} \right). \]

Hence the integral in question is

\[ \int_0^1 \frac{d}{dx} \left( \frac{(x + 1)(x + 2) \cdots (x + 11642)}{11642!} \right) dy = \frac{(x + 1)(x + 2) \cdots (x + 11642)}{11642!} \Big|_0^1 = 11643 - 1 = \boxed{11642}. \]",numerical,,constant,,,5
1993,A1,"Consider the intersection between the horizontal line $y=c$ and the curve $y = 83x - 10x^3$ in the first quadrant. This creates two regions. The first region is bounded by the $y$-axis, the line $y=c$ and the curve; the other lies under the curve and above the line $y=c$ between their two points of intersection. Find $c$ so that the areas of the two shaded regions are equal.","Let $(b, c)$ denote the second intersection point. We wish to find $c$ so that

\[ \int_0^b \left( c - \left(83x - 10x^3 \right) \right) dx = 0. \]

This leads to $cb - 41.5b^2 + \left(2.5\right)b^4 = 0$. After substituting $c = 83b - 10b^3$ and solving, we find that $b = 2.1659862811885824$ and the result follows. The value of $c$ is $\boxed{78.15968924358332}$.",numerical,,constant,,,1
1993,A1,"Consider the intersection between the horizontal line $y=r$ and the curve $y = 82x - 22x^3$ in the first quadrant. This creates two regions. The first region is bounded by the $y$-axis, the line $y=r$ and the curve; the other lies under the curve and above the line $y=r$ between their two points of intersection. Find $r$ so that the areas of the two shaded regions are equal.","Let $(b, r)$ denote the second intersection point. We wish to find $r$ so that

\[ \int_0^b \left( r - \left(82x - 22x^3 \right) \right) dx = 0. \]

This leads to $rb - 41.0b^2 + \left(5.5\right)b^4 = 0$. After substituting $r = 82b - 22b^3$ and solving, we find that $b = 1.4958615406511202$ and the result follows. The value of $r$ is $\boxed{49.02351354830067}$.",numerical,,constant,,,2
